0	0	0	0	0	0
255	0	0	242	1	0
511	0	0	491	3	0
767	0	0	740	7	0
1023	0	0	989	12	0
1279	0	0	1238	19	0
1535	0	0	1488	27	0
1791	0	0	1738	39	0
2047	0	0	1987	51	0
2303	0	0	2236	66	0
2559	0	0	2485	83	0
2815	0	0	2735	103	0
3071	0	0	2984	125	0
3327	0	0	3233	149	0
3583	0	0	3483	176	0
3839	0	0	3732	203	0
4095	0	0	3982	231	0
0	255	0	24	249	1
255	255	0	260	250	1
511	255	0	501	251	1
767	255	0	747	254	1
1023	255	0	994	258	1
1279	255	0	1242	262	1
1535	255	0	1490	269	1
1791	255	0	1739	276	1
2047	255	0	1988	285	1
2303	255	0	2237	294	0
2559	255	0	2485	305	0
2815	255	0	2734	318	0
3071	255	0	2984	332	0
3327	255	0	3233	346	0
3583	255	0	3482	361	0
3839	255	0	3732	378	0
4095	255	0	3981	395	0
0	511	0	66	501	4
255	511	0	289	502	4
511	511	0	518	503	4
767	511	0	758	504	4
1023	511	0	1002	506	3
1279	511	0	1249	509	3
1535	511	0	1496	512	3
1791	511	0	1743	517	3
2047	511	0	1991	522	3
2303	511	0	2240	528	3
2559	511	0	2488	534	2
2815	511	0	2737	542	2
3071	511	0	2985	550	2
3327	511	0	3234	559	1
3583	511	0	3483	569	1
3839	511	0	3732	579	0
4095	511	0	3981	591	0
0	767	0	135	754	8
255	767	0	333	754	7
511	767	0	545	755	7
767	767	0	777	756	7
1023	767	0	1016	757	7
1279	767	0	1259	759	7
1535	767	0	1504	761	7
1791	767	0	1750	764	7
2047	767	0	1997	768	7
2303	767	0	2245	771	6
2559	767	0	2493	776	6
2815	767	0	2741	781	6
3071	767	0	2989	787	6
3327	767	0	3237	793	5
3583	767	0	3486	800	5
3839	767	0	3735	807	4
4095	767	0	3983	815	4
0	1023	0	226	1007	13
255	1023	0	388	1007	13
511	1023	0	581	1007	13
767	1023	0	802	1008	13
1023	1023	0	1035	1009	13
1279	1023	0	1274	1010	13
1535	1023	0	1516	1012	13
1791	1023	0	1760	1014	12
2047	1023	0	2006	1017	12
2303	1023	0	2252	1019	12
2559	1023	0	2499	1023	12
2815	1023	0	2746	1026	11
3071	1023	0	2994	1031	11
3327	1023	0	3242	1035	11
3583	1023	0	3490	1040	10
3839	1023	0	3738	1046	10
4095	1023	0	3987	1052	9
0	1279	0	318	1259	20
255	1279	0	452	1259	20
511	1279	0	627	1260	20
767	1279	0	835	1260	20
1023	1279	0	1060	1261	20
1279	1279	0	1294	1262	20
1535	1279	0	1532	1263	20
1791	1279	0	1774	1265	20
2047	1279	0	2017	1267	20
2303	1279	0	2262	1269	19
2559	1279	0	2508	1272	19
2815	1279	0	2754	1275	19
3071	1279	0	3001	1278	18
3327	1279	0	3248	1281	18
3583	1279	0	3496	1285	18
3839	1279	0	3743	1290	17
4095	1279	0	3991	1294	17
0	1535	0	411	1512	30
255	1535	0	523	1512	30
511	1535	0	680	1512	30
767	1535	0	875	1513	30
1023	1535	0	1090	1513	30
1279	1535	0	1318	1514	29
1535	1535	0	1552	1515	29
1791	1535	0	1790	1517	29
2047	1535	0	2031	1518	29
2303	1535	0	2274	1520	29
2559	1535	0	2518	1522	28
2815	1535	0	2764	1524	28
3071	1535	0	3009	1527	28
3327	1535	0	3256	1530	27
3583	1535	0	3503	1533	27
3839	1535	0	3750	1536	26
4095	1535	0	3997	1540	26
0	1791	0	503	1765	41
255	1791	0	599	1765	41
511	1791	0	739	1765	41
767	1791	0	921	1765	41
1023	1791	0	1127	1766	41
1279	1791	0	1347	1766	41
1535	1791	0	1576	1767	41
1791	1791	0	1810	1768	41
2047	1791	0	2049	1770	40
2303	1791	0	2289	1771	40
2559	1791	0	2532	1773	40
2815	1791	0	2775	1775	40
3071	1791	0	3020	1777	39
3327	1791	0	3265	1779	39
3583	1791	0	3511	1782	38
3839	1791	0	3758	1785	38
4095	1791	0	4004	1788	37
0	2047	0	596	2017	55
255	2047	0	678	2017	55
511	2047	0	804	2018	55
767	2047	0	972	2018	55
1023	2047	0	1168	2018	55
1279	2047	0	1381	2019	55
1535	2047	0	1604	2020	54
1791	2047	0	1834	2020	54
2047	2047	0	2069	2022	54
2303	2047	0	2307	2023	54
2559	2047	0	2547	2024	54
2815	2047	0	2789	2026	53
3071	2047	0	3032	2028	53
3327	2047	0	3276	2030	53
3583	2047	0	3521	2032	52
3839	2047	0	3767	2034	52
4095	2047	0	4013	2037	51
0	2303	0	688	2270	71
255	2303	0	760	2270	71
511	2303	0	873	2270	71
767	2303	0	1029	2270	71
1023	2303	0	1215	2271	71
