0	0	0	0	0	0
255	0	0	216	10	4
511	0	0	451	28	12
767	0	0	686	58	25
1023	0	0	921	100	43
1279	0	0	1156	157	67
1535	0	0	1391	222	98
1791	0	0	1626	287	136
2047	0	0	1861	352	181
2303	0	0	2096	417	226
2559	0	0	2331	482	272
2815	0	0	2566	547	318
3071	0	0	2802	612	364
3327	0	0	3037	677	409
3583	0	0	3272	742	455
3839	0	0	3507	807	501
4095	0	0	3742	872	547
0	255	0	57	242	22
255	255	0	260	250	26
511	255	0	476	263	34
767	255	0	703	284	47
1023	255	0	933	312	65
1279	255	0	1166	346	89
1535	255	0	1399	386	120
1791	255	0	1632	430	158
2047	255	0	1867	477	200
2303	255	0	2101	528	244
2559	255	0	2335	581	287
2815	255	0	2570	636	331
3071	255	0	2805	693	376
3327	255	0	3039	751	420
3583	255	0	3274	809	465
3839	255	0	3509	869	510
4095	255	0	3744	929	555
0	511	0	158	492	61
255	511	0	327	496	66
511	511	0	518	503	73
767	511	0	732	515	86
1023	511	0	955	532	104
1279	511	0	1182	554	129
1535	511	0	1412	580	160
1791	511	0	1644	611	195
2047	511	0	1876	646	233
2303	511	0	2109	684	272
2559	511	0	2343	725	313
2815	511	0	2576	770	354
3071	511	0	2810	816	396
3327	511	0	3045	865	439
3583	511	0	3279	916	482
3839	511	0	3513	969	526
4095	511	0	3748	1022	569
0	767	0	292	741	125
255	767	0	417	744	130
511	767	0	581	749	137
767	767	0	777	757	150
1023	767	0	989	768	168
1279	767	0	1209	783	191
1535	767	0	1434	802	218
1791	767	0	1662	824	248
2047	767	0	1891	849	280
2303	767	0	2122	878	315
2559	767	0	2354	910	351
2815	767	0	2587	945	389
3071	767	0	2820	983	428
3327	767	0	3053	1023	468
3583	767	0	3286	1065	509
3839	767	0	3520	1110	550
4095	767	0	3754	1156	592
0	1023	0	425	990	213
255	1023	0	521	992	216
511	1023	0	660	996	223
767	1023	0	837	1002	233
1023	1023	0	1035	1010	247
1279	1023	0	1246	1021	265
1535	1023	0	1464	1035	286
1791	1023	0	1687	1052	311
2047	1023	0	1913	1071	338
2303	1023	0	2141	1094	368
2559	1023	0	2371	1119	401
2815	1023	0	2601	1147	435
3071	1023	0	2833	1177	470
3327	1023	0	3065	1210	507
3583	1023	0	3297	1245	545
3839	1023	0	3530	1282	584
4095	1023	0	3763	1321	624
0	1279	0	558	1240	302
255	1279	0	635	1241	305
511	1279	0	752	1244	310
767	1279	0	910	1248	318
1023	1279	0	1094	1255	329
1279	1279	0	1294	1264	344
1535	1279	0	1504	1274	361
1791	1279	0	1721	1288	382
2047	1279	0	1942	1303	405
2303	1279	0	2166	1321	431
2559	1279	0	2393	1341	459
2815	1279	0	2621	1364	489
3071	1279	0	2850	1388	521
3327	1279	0	3080	1415	555
3583	1279	0	3312	1445	590
3839	1279	0	3543	1476	626
4095	1279	0	3775	1509	663
0	1535	0	691	1489	392
255	1535	0	754	1490	394
511	1535	0	855	1492	398
767	1535	0	995	1496	405
1023	1535	0	1163	1501	414
1279	1535	0	1351	1508	426
1535	1535	0	1552	1517	440
1791	1535	0	1762	1528	458
2047	1535	0	1977	1540	478
2303	1535	0	2197	1555	500
2559	1535	0	2420	1571	525
2815	1535	0	2645	1590	552
3071	1535	0	2872	1611	580
3327	1535	0	3100	1633	610
3583	1535	0	3330	1658	642
3839	1535	0	3560	1685	675
4095	1535	0	3791	1713	710
0	1791	0	825	1738	482
255	1791	0	877	1739	484
511	1791	0	964	1741	487
767	1791	0	1088	1744	492
1023	1791	0	1243	1748	500
1279	1791	0	1418	1754	510
1535	1791	0	1609	1761	522
1791	1791	0	1811	1770	537
2047	1791	0	2020	1781	554
2303	1791	0	2235	1793	574
2559	1791	0	2453	1807	596
2815	1791	0	2675	1823	619
3071	1791	0	2899	1840	645
3327	1791	0	3124	1860	672
3583	1791	0	3352	1881	701
3839	1791	0	3580	1903	731
4095	1791	0	3809	1928	763
0	2047	0	958	1987	572
255	2047	0	1003	1988	573
511	2047	0	1078	1990	576
767	2047	0	1189	1992	581
1023	2047	0	1330	1996	587
1279	2047	0	1494	2001	596
1535	2047	0	1674	2007	606
1791	2047	0	1867	2015	619
2047	2047	0	2069	2024	634
2303	2047	0	2278	2034	651
2559	2047	0	2492	2046	670
2815	2047	0	2710	2060	691
3071	2047	0	2930	2075	714
3327	2047	0	3153	2091	739
3583	2047	0	3378	2109	765
3839	2047	0	3604	2129	793
4095	2047	0	3831	2150	822
0	2303	0	1091	2237	661
255	2303	0	1130	2238	663
511	2303	0	1196	2239	665
767	2303	0	1296	2241	669
1023	2303	0	1424	2244	675
1279	2303	0	1576	2248	682
1535	2303	0	1747	2254	691
1791	2303	0	1931	2260	703
2047	2303	0	2125	2268	716
2303	2303	0	2328	2277	731
2559	2303	0	2536	2287	748
2815	2303	0	2750	2299	767
3071	2303	0	2966	2312	787
3327	2303	0	3186	2327	809
3583	2303	0	3408	2343	833
3839	2303	0	3631	2360	859
4095	2303	0	3857	2379	885
0	2559	0	1225	2486	751
255	2559	0	1259	2487	752
511	2559	0	1317	2488	755
767	2559	0	1407	2490	758
1023	2559	0	1524	2493	763
1279	2559	0	1665	2496	769
1535	2559	0	1825	2501	778
1791	2559	0	2001	2507	787
2047	2559	0	2188	2513	799
2303	2559	0	2384	2521	813
2559	2559	0	2586	2530	828
2815	2559	0	2795	2541	845
3071	2559	0	3007	2552	863
3327	2559	0	3223	2565	883
3583	2559	0	3442	2579	905
3839	2559	0	3663	2594	928
4095	2559	0	3886	2611	953
0	2815	0	1358	2735	841
255	2815	0	1388	2736	842
511	2815	0	1441	2737	844
767	2815	0	1521	2739	847
1023	2815	0	1629	2741	851
1279	2815	0	1760	2744	857
1535	2815	0	1910	2749	864
1791	2815	0	2077	2754	873
2047	2815	0	2256	2760	884
2303	2815	0	2445	2767	896
2559	2815	0	2642	2775	909
2815	2815	0	2845	2784	924
3071	2815	0	3053	2794	941
3327	2815	0	3265	2805	960
3583	2815	0	3480	2818	979
3839	2815	0	3698	2832	1001
4095	2815	0	3919	2846	1023
0	3071	0	1491	2985	931
255	3071	0	1519	2985	932
511	3071	0	1566	2986	933
767	3071	0	1639	2988	936
1023	3071	0	1738	2990	940
1279	3071	0	1859	2993	945
1535	3071	0	2001	2996	952
1791	3071	0	2159	3001	960
2047	3071	0	2330	3006	969
2303	3071	0	2512	3013	980
2559	3071	0	2702	3020	992
2815	3071	0	2900	3028	1006
3071	3071	0	3103	3037	1021
3327	3071	0	3311	3047	1038
3583	3071	0	3523	3059	1056
3839	3071	0	3738	3071	1076
4095	3071	0	3955	3084	1097
0	3327	0	1625	3234	1021
255	3327	0	1649	3234	1021
511	3327	0	1692	3235	1023
767	3327	0	1759	3237	1025
1023	3327	0	1850	3239	1029
1279	3327	0	1963	3241	1034
1535	3327	0	2096	3245	1040
1791	3327	0	2245	3249	1047
2047	3327	0	2409	3253	1055
2303	3327	0	2584	3259	1065
2559	3327	0	2768	3266	1076
2815	3327	0	2960	3273	1089
3071	3327	0	3158	3281	1103
3327	3327	0	3362	3291	1118
3583	3327	0	3570	3301	1135
3839	3327	0	3781	3312	1153
4095	3327	0	3995	3324	1172
0	3583	0	1758	3483	1110
255	3583	0	1780	3484	1111
511	3583	0	1819	3484	1113
767	3583	0	1880	3486	1115
1023	3583	0	1964	3487	1118
1279	3583	0	2070	3490	1122
1535	3583	0	2195	3493	1128
1791	3583	0	2336	3497	1134
2047	3583	0	2492	3501	1142
2303	3583	0	2660	3506	1151
2559	3583	0	2838	3512	1161
2815	3583	0	3025	3519	1173
