0	0	0	0	0	0
255	0	0	253	2	0
511	0	0	507	5	0
767	0	0	762	9	0
1023	0	0	1017	16	0
1279	0	0	1272	25	0
1535	0	0	1527	37	0
1791	0	0	1782	52	0
2047	0	0	2037	69	0
2303	0	0	2292	89	0
2559	0	0	2547	112	0
2815	0	0	2803	139	0
3071	0	0	3057	168	0
3327	0	0	3313	200	0
3583	0	0	3568	230	0
3839	0	0	3824	262	0
4095	0	0	4078	292	0
0	255	0	8	249	4
255	255	0	259	250	4
511	255	0	511	252	4
767	255	0	765	256	4
1023	255	0	1019	261	4
1279	255	0	1273	267	4
1535	255	0	1528	275	4
1791	255	0	1782	285	4
2047	255	0	2037	296	3
2303	255	0	2292	309	3
2559	255	0	2546	324	3
2815	255	0	2801	339	2
3071	255	0	3056	356	2
3327	255	0	3310	374	2
3583	255	0	3565	393	1
3839	255	0	3820	413	1
4095	255	0	4075	434	0
0	511	0	24	501	12
255	511	0	270	502	12
511	511	0	517	503	12
767	511	0	769	505	12
1023	511	0	1022	508	11
1279	511	0	1275	512	11
1535	511	0	1529	516	11
1791	511	0	1784	522	11
2047	511	0	2038	529	11
2303	511	0	2293	536	11
2559	511	0	2547	545	10
2815	511	0	2802	555	10
3071	511	0	3057	566	9
3327	511	0	3311	578	9
3583	511	0	3566	591	9
3839	511	0	3821	604	8
4095	511	0	4075	619	7
0	767	0	48	754	24
255	767	0	287	754	24
511	767	0	527	755	24
767	767	0	775	756	24
1023	767	0	1026	758	24
1279	767	0	1279	761	24
1535	767	0	1532	764	23
1791	767	0	1786	768	23
2047	767	0	2040	772	23
2303	767	0	2294	777	23
2559	767	0	2549	783	22
2815	767	0	2803	790	22
3071	767	0	3058	798	22
3327	767	0	3312	806	21
3583	767	0	3567	815	21
3839	767	0	3821	825	20
4095	767	0	4076	836	20
0	1023	0	84	1006	41
255	1023	0	310	1007	41
511	1023	0	541	1007	41
767	1023	0	785	1008	41
1023	1023	0	1033	1010	41
1279	1023	0	1284	1011	41
1535	1023	0	1537	1014	41
1791	1023	0	1790	1016	41
2047	1023	0	2043	1020	41
2303	1023	0	2297	1024	40
2559	1023	0	2551	1028	40
2815	1023	0	2805	1033	40
